lexicon,explanation
administration order," an order made by a county court when a person or a company cannot pay their debts. Normally the court orders that the debts are repaid by instalments and as long as the debtor keeps to the order the creditors cannot do anything else to recover the money.,"
administrator," someone who has been appointed to manage the affairs of a bankrupt business; or to manage the estate of someone who has died without leaving a will.,"
admissibility of evidence," which evidence can be presented in court. Evidence must be relevant to the case but even some relevant evidence cannot be presented, such as hearsay or evidence of little value. The judge decides whether or not evidence can be used in the case.,"
admission," one side in a case agreeing that something the other side has alleged is true.,"
admonition," reprimanding of a defendant by a judge even though the case against the defendant has been discharged (dropped).,"
adoption," the system which people use to become parents, even though they are not the child's natural parents.,"
adoptive child," a child who has been legally adopted.,"
adoptive parent," a person who has legally adopted a child.,"
adverse possession," intentionally occupying land to prevent the rightful owner or tenant using it.,"
adverse witness," a witness who gives evidence which damages the case of the side which asked the witness to testify for them.,"
advocate," is the lawyer who speaks in court for a client; or a Scottish lawyer who is the equivalent of a barrister in England and Wales.,"
affidavit," a written statement which is sworn to be true by the person signing it. It is sworn before someone authorised by the court.,"
affirm," to solemnly promise to tell the truth in court; solemnly promise to tell the truth in an affidavit; confirm a decision made by a lower court; or allow a contract to continue even though it could have been cancelled because it was fundamentally breached.,"
affirmation," solemnly promising to tell the truth when giving evidence. It is an alternative to swearing an oath when the person giving evidence does not wish to.,"
affray," fighting unlawfully. It is a criminal offence.,"
aforementioned," describing something referred to previously in the document.,"
aforesaid," describing something which has been said or referred to before in the document.,"
age of consent," the age when someone can consent to have sexual intercourse.,"
agency," the relationship between a principal and an agent.,"
agent," someone appointed to act for a principal.,"
aggravated assault," a more serious type of assault such as one leading to actual bodily harm.,"
aggravated burglary," entering premises armed with a weapon, intending to steal goods.,"
aggravated damages," extra damages awarded because the defendant has caused the victim anguish, loss of self-respect or shame.,"
aggravated vehicle taking," stealing a vehicle, driving it dangerously and as a result injuring someone or damaging property.,"
agricultural holding," a type of tenancy agreement for someone doing agricultural work. The tenant has special rights including, when the tenancy finishes, the right to compensation for improvements to the land. If the land has deteriorated the tenant must compensate the landlord.,"
aiding and abetting," helping someone to commit a crime.,"
airspace," the space in the atmosphere directly above a piece of land. If you own a piece of land you also own the airspace above the land.,"
alias," a false name.,"
alibi," a claim that a person was elsewhere when a crime was committed. If someone is accused of a crime their alibi is evidence that the person was somewhere else when the crime was committed; or an attempt to prove that the person was somewhere else when the crime was committed.,"
alien," someone from a foreign country.,"
alienation," transferring the ownership of property from one person to another.,"
all and sundry," everybody.,"
all that," words used in a conveyance to introduce the description of the property which is being conveyed.,"
allegation," an unproved statement declaring that something has happened.,"
alleviate," to lessen or reduce.,"
allocation rate," the proportion of money left to be invested after charges have been taken off when money is paid into a fund (such as a pension fund). For example, if the charges were 2%, the allocation rate would be 98%.,"
allotment," shares allocated to a buyer. An allotment of shares in a company gives the owner (of the allotment) an unconditional right to buy the shares at a fixed price.,"
alternate director," a person appointed by a director to take the director's place.,"
alternative verdict," a person being found guilty of a less serious crime than the one they were charged with. If a more serious charge has not been proved and the defendant has been found not guilty, the defendant may be found guilty of a less serious crime instead. For example, there may not be enough evidence to convict someone of a murder but there may still be enough for a manslaughter conviction. This is known as an alternative verdict.,"
amalgamation," two or more companies combining.,"
ambiguity," capability of more than one meaning. When a statement's meaning is not clear because it is capable of more than one meaning, it contains an ambiguity.,"
ambulatory will," a will which can be revoked or changed while the person who made it is still living.,"
amnesty," not punishing a person for an offence they have committed and removing details of the offence from the court's records is giving the person an amnesty.,"
ancient lights," the right not to have the light you receive from a neighbour's land blocked.,"
annual account," the summary of an organisation's financial transactions during the year covered by their accounts, and a 'snapshot' of the assets and liabilities at the end of the year.,"
annual accounts," the summary of an organisation's financial transactions during the year covered by their accounts, and a 'snapshot' of the assets and liabilities at the end of the year.,"
annual general meeting," the yearly meeting of the members of an organisation which must be held to meet legal conditions. The annual accounts are presented for approval at this meeting.,"
annual return," a return which must be sent by companies to the Registrar of Companies. Each year the officers of a company have to fill in an annual return with details of the members, officers, shares issued and other information about the company. The return is then sent to Companies House for filing and is available for inspection by members of the public.,"
annuitant," the person who gets paid an annuity.,"
annuity," an amount paid out every year to someone. The money usually comes from an insurance policy. It can be split up into smaller amounts and be paid out more frequently, such as monthly. It is usually paid for the rest of the beneficiary's life.,"
annul," to cancel an invalid marriage; or a bankruptcy order.,"
ante," before (This is a Latin word).,"
antecedents," details about the past of a defendant or a person found guilty of a crime. The information about previous crimes, background and bad behaviour is given to the court before the sentence is given.,"
antenuptial agreement," a legal agreement between two people who are about to get married. The agreement sets out how the couple's assets will be divided between them if they later divorce.,"
anton piller order," an order by the High Court. It gives the applicant permission to search the defendant's premises for evidence, inspect it and take it away. It is intended to prevent evidence being destroyed or hidden which would be relevant to the case (Since April 1999, this has been known as a 'search order').,"
appeal," asking a court to overturn a lower court's decision. If the decision of a court is disputed it may be possible to ask a higher court to consider the case again by lodging an appeal.,"
appellant," the person who is appealing to a court against a decision of a lower court.,"
appellante jurisdiction," the authority a court has to hear an appeal against a decision made by a lower court.,"
appertaining to applicant," the person asking a court to do something.,"
appointee," the person who gets the benefit of the use of a power of appointment.,"
appointor," the person who uses a power of appointment.,"
appurtenances," minor rights in land such as a right to do something on the land.,"
arbitrage," is borrowing money at a low rate of interest to lend out again at a higher rate; or buying and selling in different markets to make profits out of the price differences.,"
arbitration," settling a dispute by using a referee. If a dispute goes to arbitration it is settled by an independent referee. It avoids having to use the courts to settle the dispute.,"
arbitrator," the independent referee who settles a dispute without the need to use the courts.,"
arraignment," a procedure at the start of a trial when details of the offences are read out and the defendants are asked whether they will plead guilty or not guilty.,"
arrest," to seize someone, usually because they are suspected of committing a crime, and take them into custody.,"
arrestable offence," a crime for which a person may be arrested without a warrant being needed.,"
arson," setting fire to something to cause damage to it.,"
articles," the clauses in a document. A company's articles set out its rule. The articles form part of the memorandum and articles of association.,"
assault," when someone threatens another person with physical harm. Words on their own do not amount to assault but threatening gestures do, even if the person threatened is not touched.,"
assent," a document used by personal representatives to transfer property to a beneficiary.,"
asset," something owned such as a building, a vehicle or money in the bank.,"
assign," to formally transfer something, such as when ownership of property is transferred from one person to another.,"
assignment," the formal transfer of the rights to something. An example would be a bank customer assigning to the bank the right to receive the benefits from a life insurance policy to give the bank security for a loan.,"
assurance," insurance cover for an event which will definitely happen, such as death.,"
assure," to transfer the ownership of something.,"
assured," the person whose life is insured or who is entitled to receive the benefit from the assurance cover.,"
assured shorthold tenancy," a type of tenancy agreement under which the landlord has the right to take the property back at the end of the tenancy agreement.,"
attachment of earning," a court order that deductions be made from a person's earnings. The employer pays the money collected to the court and the court pays the money to the people it is owed to.,"
attachment of earnings," a court order that deductions be made from a person's earnings. The employer pays the money collected to the court and the court pays the money to the people it is owed to.,"
attest," to sign to witness a signature on a document.,"
attorney," a person appointed to act for another person (such as when someone cannot look after their own affairs). A formal document called a power of attorney is used to appoint the attorney. It is also the name used for a US lawyer.,"
attorney general," the chief legal adviser to the Government. He or she must be a barrister.,"
audit," an independent examination of an organisation's records and financial statements (report and accounts) to make sure that the financial statements show a fair reflection of the financial position at the accounting date; the income and spending is shown accurately; the financial statements meet any legal conditions; and the financial statements are drawn up clearly.,"
auditor's report," a report and opinion, by an independent person or firm, on an organisation's financial records.,"
authorised investment," investments in which a trustee is permitted to invest trust money, under an Act of Parliament.,"
authorised investments," investments in which a trustee is permitted to invest trust money, under an Act of Parliament.,"
authorised share capital," the highest amount of share capital that a company can issue. The amount is set out in the company's memorandum of association.,"
autopsy," an examination of a dead body to find the cause of death.,"
bail," to pay, or promise to pay, an amount of money so that an accused person is not put in prison before the trial. If the accused person does not appear at the trial, the court can keep the money put up for bail.,"
bail hostel," accommodation found for people charged with offences and released on bail, but who do not have a permanent address so that the police know where to find them.,"
bailee," a person or organisation looking after valuable items to keep them safe for the owner.,"
bailiff," an officer of the court who carries out the court's orders, such as taking a debtor's goods and selling them to get money to pay the debtor's debts. A bailiff can also personally deliver (serve) documents on people.,"
bailiwick," the area over which a bailiff has jurisdiction.,"
bailment," transferring possession of goods from the owner to someone else. The ownership of the goods is not transferred. A practical example of bailment is that someone who hires a television has possession of it, but the rental company still owns the television.,"
bailor," the owner of valuable items which are in the possession of another person or organisation for safekeeping.,"
balance sheet," a summary of an organisation's financial position. It lists the values, in the books of account on a particular date, of all the organisation's assets and liabilities. The assets and liabilities are grouped in categories and paint a picture of the organisation's strengths and weaknesses.,"
banker's draft," a cheque drawn by a bank on itself. It is used when there must be certainty that a cheque will be paid.,"
bankrupt," someone who has had a bankruptcy order.,"
bankruptcy order," an order that a court may issue against someone if they cannot pay their debts when they are due to be paid. This order takes ownership of the debtor's property away from the debtor and allows much of the property to be sold. The money raised is divided between the creditors following strict rules.,"
bankruptcy search," a document which says whether or not someone is bankrupt.,"
bar," the collective term for barristers. When a lawyer becomes a barrister, it is called 'being called to the bar'.,"
bare trust," a trust which holds property on behalf of a person until they ask for it back.,"
bare trustee," someone who holds property on behalf of another person until asked to return the property.,"
bargain and sale," a contract to sell any property or investment in land that a person owns.,"
barrister," a lawyer who can speak in the highest courts, which a solicitor is not allowed to do.,"
barter," a way of paying for things by exchanging goods instead of using money.,"
battery," using physical force on someone either intentionally or carelessly and without their agreement. It would not be battery if two boxers took part in a boxing match, even though they hurt each other during the match, because they would have agreed to fight each other.,"
bearer," the person who has a document in their possession.,"
bench," the name for the judges or magistrates in a court.,"
bench warrant," a warrant issued by a court for the arrest of an accused person who has failed to attend court. It is also issued when someone has committed contempt of court and can't be traced.,"
beneficial interest," belonging to a person even though someone else is the legal owner. If something really belongs to someon, even if that person does not legally own it, they have a beneficial interest in it. If, for instance, parents hold an investment on behalf of their child they are the legal owners, but the child is the beneficial owner of the investment.,"
beneficial owner," the owner of a piece of land (and the buildings on it). Beneficial owners have the right to the income their land generates; or to use the land for their own purposes. It can also be a person who really owns something even though it is held in someone else's name.,"
beneficiary," someone who benefits from a will, a trust or a life insurance policy.,"
bequeath," to leave something (such as possessions or money) to someone in your will. You cannot bequeath land or real property but you can devise them instead.,"
bequest," something given in a will, other than land or real property.,"
bigamy," the offence committed by someone who is already married but still goes through a marriage ceremony with someone else.,"
bill of costs," the invoice the solicitor sends to a client giving details of any disbursements the solicitor has paid on behalf of the client, the fee the solicitor is charging and any expenses.,"
bill of exchange," a signed written order, instructing the person it is addressed to pay an amount of money to someone. A cheque is a type of bill of exchange.,"
bill of lading," a document recording the goods a ship carries and the terms the goods are carried under.,"
bill of sale," a document which transfers ownership of goods from one person to another.,"
binding effect," the fact that an agreement must be kept to by law.,"
binding over," an order by a court in a criminal case. If someone has misbehaved or broken the peace, magistrates can bind them over. The magistrates can order them to pay a bond. This will be forfeited (won't be repaid) if the binding over terms are broken.,"
binding precedent," following the decisions made by higher courts. Lower courts must follow the precedents set by the decisions of the higher courts and this is called binding precedent.,"
blackmail," demanding payment from a person in return for not revealing something shameful about them.,"
bodily harm," physical injury or pain.,"
bona fide," genuine, sincere or in good faith (This term is Latin).,"
bona vacantia," goods or an estate belonging to nobody (This term is Latin).,"
bond," a written promise to repay a debt at an agreed time and to pay an agreed rate of interest on the debt.,"
bonded goods," goods for which a bond has been paid to customs and excise as security for the duty owed on the goods.,"
bonded warehouse," a warehouse approved by customs and excise for storing goods imported into the country until the duty on them has been paid or the goods have been exported to another country.,"
bonus shares," free shares that a company offers to its shareholders, in proportion to their existing shareholdings.,"
book value," the value of a fixed asset, such as a building or machine, as recorded in an organisation's books. It is usually the amount paid for the asset less an amount for depreciation.,"
bought note," a document showing details of a purchase by someone for a third party. Stockbrokers produce bought notes for their clients. The bought note shows details of the investments the broker has bought for the client, including the price paid and any commission and duty charged.,"
breach of contract," failing to carry out a duty under a contract.,"
breach of duty," failing to carry out something which is required by law, or doing something the law forbids.,"
breach of the peace," when harm is done to someone or harm is threatened.,"
breach of trust," when a trustee does something which is against the trust's rules or fails to do something required by the trust's rules.,"
break clause," a clause in a contract which allows it to be ended.,"
breaking the peace," when harm is done to someone, or harm is threatened.,"
bridle way," a path or road which is a right of way for people walking and people leading or riding horses. Cyclists can use it as well but must give way to pedestrians and horses.,"
brief," a document prepared by a solicitor which contains the instructions for the barrister to follow when acting for the solicitor in court.,"
building preservation notice," a notice that a building is listed. If a building is in danger of being altered or demolished, but the local planning authority thinks it should be preserved, the authority can issue a notice that the building is listed.,"
burglary," entering a building without permission with the intention of stealing or doing damage.,"
bye-law," a law made by a local authority. It only applies within the local authority's boundaries.,"
bylaw," a law made by a local authority. It only applies within the local authority's boundaries.,"
call," asking people to pay for new shares they have applied for. A company makes a call when it asks buyers of its new shares to pay some, or all, of the share price. When this happens the shares are being called up.,"
called-up capital," all the shares called by a company when it issues shares. When calls have been made for the whole of the share price and the shareholders have paid, the shares become paid-up share capital.,"
canon law," the name for the rules used for running a Christian church.,"
capacity," someone's ability to enter into a legal agreement. For example, a minor would not be able to buy something on credit.,"
capital allowances," allowances that you can sometimes claim when you buy long-term assets, such as machines, to use in your business. You claim part of the cost against your profits before your tax is worked out for the year.,"
capital gain," the profit you make if you sell or dispose of a longterm asset (such as a building) for more than it cost you.,"
capital gains tax," a tax charged on certain capital gains.,"
capital punishment," punishing someone for a crime by killing them.,"
capital redemption reserve," a company has to have this reserve in its financial records and in its accounts if any of the shares it has issued are cancelled. The reserve cannot be paid out to the members until the company is liquidated and so it prevents the company's capital being reduced.,"
care order," an order by a court instructing the local authority to care for a child.,"
careless driving," driving a car without consideration for other people using the road.,"
cartel," an agreement between businesses to restrict competition and keep prices high.,"
case law," law that is based on the results of previous court cases.,"
case stated," the written statement setting out the facts of a case. It is produced by a magistrates' court when asking the High Court for an opinion on the law.,"
causation," one thing being done causing something else to happen.,"
cause of action," the reason someone is entitled to sue someone else.,"
causing death by careless and inconsiderate driving," an offence committed by someone who is unfit to drive because of drink or drugs, but nevertheless drives a vehicle and kills another person. The punishment for careless and inconsiderate driving is less severe than for dangerous driving.,"
causing death by dangerous driving," a criminal offence committed by someone whose driving is dangerous and results in another person being killed. The courts consider dangerous driving to be a very serious offence.,"
caution," is a warning given by the police to a suspected criminal when the suspect is arrested; a warning given by the police when they release a suspect without prosecution that, if there are any more offences committed by the suspect, the first possible offence may be taken into account; or a document sent to the Land Registry by someone who may have a a right over land, which demands that no dealings in the land are registered until the person with the right has been told.,"
caveat," a warning (This is a Latin term).,"
caveat emptor," 'buyer beware'. It is used to warn people buying goods that they may not be able to get compensation if the goods they buy are faulty (This is a Latin term).,"
central criminal court," the most senior court covering the centre of London.,"
certificate of incorporation," a certificate stating that a company has been incorporated (that is, it has a separate existence from its members). The Registrar of Companies issues the certificate of incorporation once a company has been formed.,"
certificate of origin," a certificate stating in which country the goods being imported were made.,"
certiorari," an order by the High Court that a case should be reviewed. If the High Court considers that a case heard in a lower court is flawed it may order that it be reviewed by the High Court (This word is Latin).,"
challenge for cause," when the defence objects to a juror and says why it objects.,"
challenge to a jury," when either side in a case objects to the people who have been selected to serve on the jury before they are sworn in.,"
challenge to the array," when the defence objects to all the jurors.,"
challenge without cause," happens when the defence objects to a juror but does not say why.,"
chambers," the offices used by barristers and the judge's private office.,"
chancery division," a section of the high court. It deals with cases involving trusts, land, company law, patents and so on.,"
charge," means to formally accuse someone of committing a crime; to use property as security for a debt (such as a mortgage); or a direction given by a judge to tell the jury what they must do.,"
charge certificate," a certificate which the Land Registry issues to the legal mortgagee (the lender) who has lent money on the security of registered land. It is proof of the legal mortgagee's right to the security.,"
charge sheet," the document on which a police officer records details of the accusation against a suspect.,"
chargeable event," an event that may create a tax liability (tax bill).,"
chargeable gain," a gain on which capital gains tax is payable. If a capital asset such as a building is sold or disposed of at a profit, tax on the gain has to be worked out unless the capital asset is one exempted by law.,"
charges clause," a clause which appears in some contracts and sets out who should pay for certain items.,"
charges register," part of the certificate which is evidence of someone's title. The register shows details of any mortgages, restrictions on the use of the land or rights someone else may have over the land such as a right of way.,"
charging clause," trustees can charge the trust for their services if there is a charging clause.,"
charging order," a court judgement which a creditor may get against the person or organisation which owes the money, giving the creditor security over the debtor's property for repayment of the debt.,"
charity," an organisation set up to do good for the community, such as help poor people, educate people and protect animals. Most charities are registered with the Charity Commission.,"
charity commission," an organisation responsible for checking that charities are run properly. It also decides whether proposed charities can be placed on the register of charities.,"
chattel," any property except freehold land.,"
chattels personal," the name for tangible goods (goods which can be touched) such as watches, clothes, furniture and so on.,"
chattels real," another name for leasehold land.,"
cheat," a person who fails to send tax returns to the tax authorities or fails to pay the tax owing, such as income tax or value added tax.,"
cheque," a written order, addressed to a bank, instructing the bank to pay an amount of money to the person or organisation named on the cheque. The bank takes the money out of the relevant customer's account.,"
cheque card," a card issued by a bank to a customer. It guarantees that a cheque used with the card will be paid if the person issuing the cheque has kept to all the conditions.,"
chief rent," money charged regularly on freehold land. Despite its name it is not rent.,"
child abuse," molestation or ill-treated suffered by a child.,"
child assessment order," an order which a local authority may apply to a court for to assess a child's situation if there are concerns about the child's welfare.,"
child support agency," part of the Department of Social Security. It supervises the assessment and payment of maintenance for children.,"
child support maintenance," the amount of maintenance the parent not living with heir child must pay.,"
children in care," children looked after by local authority. The local authority takes on the responsibility for the children as if it was a parent.,"
chose," an item of property (anything which can be owned).,"
chose in action," a right such as a patent, or a right to recover a debt. A chose in action does not physically exist. For example, you cannot touch patents or rights because they have no physical existence.,"
chose in possession," an object which physically exists, such as furniture.,"
circuit," any of the six legal regions into which the United Kingdom is divided up. Each circuit has its own system to administer the courts within the circuit.,"
circuit judge," a judge who presides over (is in charge of) cases in the crown court and county courts.,"
circumstantial evidence," evidence which suggests a fact but does not prove the fact is true.,"
citation," is a summons to appear in court; quoting from a completed case to support an argument; or a notice sent out by someone wanting grant of probate or latters of administration, asking people to come forward if they object to it.,"
citizen's arrest," an arrest by someone who is not a police officer. The offence must be being committed or have already been committed when the arrest is done.,"
civil court," a court which does not hear criminal cases. It deals with people's rights such as collection of debts.,"
claim," means to apply for a right; to demand a remedy; or an application for something such as a right.,"
claimant," the person making a claim.,"
clause," a section in a contract.,"
clearing bank," one of several major banks which work together to exchange and pay for cheques which their customers have written.,"
clerk to the justices," a solicitor or barrister who helps in court by advising the magistrates.,"
close company," a company controlled by five people or fewer, or by its directors.,"
closing order," an order prohibiting the use of a house because the house is not fit for humans to live in.,"
codicil," extra pages to change a valid will which needs a minor alteration. The codicil must be signed and witnessed and then be attached to the will.,"
codifying statute," a statute used to bring together all the strands of a law on a particular subject.,"
coercion," a defence that a crime was committed because the person accused was forced to do it.,"
collateral," extra security for a debt. If there is a main security for a debt, such as a house being security for a mortgage, any extra security supplied is called collateral.,"
commissioner for oaths," a person appointed to administer (manage) the swearing of oaths.,"
committal for sentence," happens when magistrates have found someone guilty of a crime but they think their sentencing powers are not enough. The magistrates transfer the case to the Crown Court where a higher sentence can be imposed.,"
committal for trial," when magistrates look at the evidence in a case and then send the case to be heard in the Crown Court.,"
committal order," an order used to send someone to prison for contempt of court.,"
committal proceedings," a hearing where magistrates work out if there is enough evidence of a serious crime to justify a trial by jury.,"
committee of inspection," a committee appointed from the creditors of a company in liquidation to oversee the liquidator's work.,"
common assault," when someone threatens another person with physical harm, even if they are not touched. This is a less serious type of assault (compare with aggravated assault). Threatening someone with a weapon such as a knife or gun is common assault.,"
common duty of care," the duty of the occupier of premises or land to take reasonable care of visitors to make sure that they are kept safe.,"
common seal," the seal companies use to authenticate (validate) important company documents. The company's name is engraved on the seal.,"
commorientes," closely related people who die at the same time, and it is unclear which of them died first. (This term is Latin).,"
community service order," an order to do work in the community without pay. If someone has been convicted of a crime they may be given a community service order as an alternative to being sent to prison.,"
companies house," the office which stores company information such as annual accounts, directors' names and addresses and the registered office address. People who are interested in a company can inspect some of the information stored.,"
company secretary," a person appointed by the directors of a company who is responsible for making sure that the company complies with the Companies Act.,"
compensation for loss of office," lump-sum compensation a company pays to an employee whose contract has been ended.,"
compensation order," an order by a court to a criminal to compensate the victim of the crime.,"
completion," transferring property in exchange for payment. When there is a contract to sell land, there will be an initial payment to confirm the contract. Completion happens when the ownership of the land is transferred to the person buying it, in return for the seller receiving the rest of the purchase price.,"
composition with creditors," an arrangement between a debtor and the creditors. The creditors agree to accept a proportion of what is owed to them in full settlement.,"
compulsory purchase," taking land and giving compensation for it. When land is needed for a project, such as a road, local authorities and other public bodies can take the land off the landowner. Compensation has to be paid to the landowner.,"
compulsory winding up," the liquidation of a company by order of the court. It usually happens because the company has not been able to pay its bills on time and a creditor has presented to the court a petition for winding up the company.,"
concealment," failure by one side negotiating a contract to disclose (reveal) information which the other side would need to consider when deciding whether or not to go ahead.,"
concealment of securities," hiding or destroying a document such as a will to gain benefit for yourself or cause other people loss of benefit.,"
conclusive evidence," evidence which by law cannot be disputed.,"
concurrent sentence," when someone is sentenced for different crimes and the sentences are to be served at the same time.,"
condition," a fundamental part of an agreement. The agreement or contract may collapse if a condition is broken.,"
condition precedent," something which must happen before a contract starts.,"
condition subsequent," something which may happen in the future and, if it does, will affect a contract.,"
conditional agreement," an agreement which depends on a certain thing happening in the future. If the event does not happen the agreement will not start to operate.,"
conditional discharge," a court may decide not to punish a criminal immediately for an offence and may conditionally discharge the criminal instead. If the criminal reoffends the court may impose a punishment for the original offence as well as the later ones.,"
conditional sale agreement," an agreement by which the seller remains the owner of the goods until all the instalments have been paid and all other conditions have been met.,"
confiscation order," if someone has been convicted of a crime the court may order the person convicted to pay the court a sum of money. This is called a confiscation order.,"
consecutive sentence," when someone is sentenced for different crimes and the sentences have to be served one after another.,"
consent," to agree to something. A contract would not be valid unless all the parties consented to it.,"
consideration," the price you pay for something.,"
consignee," the person goods have been sent to.,"
consignor," the person who sent the goods.,"
consistory court," a court for the clergy. There is one in each diocese.,"
conspiracy," is an agreement by two or more people to commit a crime; or some people acting together and harming a third party.,"
constructive," describing something which may not be set out in the law but will nevertheless be considered to exist.,"
constructive dismissal," because the employer has broken fundamental terms of the contract of employment the employee has been forced to resign. The employee can apply for a hearing before an industrial tribunal.,"
constructive notice," presuming something is known. The law sometimes presumes that a person knows something even though they do not.,"
consumer credit agreement," an agreement by a creditor, such as a bank, to provide up to a certain amount of credit to a consumer.,"
contempt of court," the offence of disobeying a court order; abusing a judge during a court case; or interfering in the administration of justice.,"
contemptuous damages," tiny damages. Sometimes, even though a case has been won, the court may consider that it should not have been brought to court and will only award tiny damages.,"
contingency fee," the claimant's lawyer gets paid the fee only if the case is won by the claimant. The fee is often a proportion of the damages won.,"
contingent legacy," a gift in a will which will only be made if certain conditions are met.,"
contract," an agreement between two or more people (or groups) to do (or not to do) something. The agreement can be enforced by law.,"
contract for service," a contract under which materials and services are provided by a contractor.,"
contract for services," a contract under which materials and services are provided by a contractor.,"
contract of exchange," a contract to exchange goods without money being involved (barter).,"
contract of service," the contract between employer and employee.,"
contributory negligence," your own carelessness contributing to the damage done to you or your property. When someone suffers damage or injury their claim for damages may be limited if they have contributed to the harm done through their own carelessness.,"
conversion," is exchanging one sort of property for another (such as exchanging money for goods); or acting unlawfully to deprive someone of their ownership of goods.,"
convey," to transfer the ownership of something.,"
conveyance," the name of the document which transfers the ownership of land.,"
conveyancing," the name for carrying out all the actions needed to transfer the ownership of a piece of land.,"
conviction," being found guilty of a criminal offence.,"
copyright," a legal right which stops things being copied without permission. If you have the copyright over something (such as a book or music), nobody can copy it or reproduce it without your permission.,"
coroner," a person who investigates the cause of death when a person has suffered a sudden, violent or suspicious death.,"
corporate body," a group of people acting together, such as a club. The group has a separate legal identity from the individual members' identities. A company is another example of a corporate body.,"
corporation," a group of people acting together, such as a club. The group has a separate legal identity from the individual members' identities. A company is another example of a corporate body.,"
corporation tax," a tax which companies pay on their profits.,"
corpus," the name for a body (usually dead). (This word is Latin).,"
corpus delicti," is the body of a person who has been killed unlawfully; or the facts which make up an offence (This phrase is Latin).,"
counsel," a barrister or group of barristers.,"
counterclaim," making a claim in court against someone who has already made a claim in court against you.,"
counterfeit," something that is forged or copied with the intention of deceiving.,"
counterpart," an exact copy of a document.,"
county court," a court which deals with civil cases such as disputes over unpaid debts and negligence claims. It does not deal with criminal cases.,"
county court judge," a judge who presides over (is in charge of) cases in the county courts.,"
coupon," a dated piece of paper attached to a bond. The coupon has to be surrendered (given back) to get the interest or dividend on the bond.,"
court of appeal," a court which hears appeals against the decisions of other courts.,"
court of protection," a court which administers (manages) the assets and affairs of people who cannot look after themselves, such as people who are mentally ill.,"
covenant," a contract or legally binding promise.,"
creditor," a person you owe money to.,"
